sol_irr,T_amb
0,-5
0,-5
0,-5
0,-5
0,-5.4
0,-5.7
0,-6.1
0,-5
31,-3.9
119,-2.8
216,-0.9
229,0.9
299,2.8
200,3.2
160,3.5
67,3.9
12,1.9
0,-0.2
0,-2.2
0,-2.4
0,-2.6
0,-2.8
0,-2.6
0,-2.4
0,-2.2
0,-2
0,-1.9
0,-1.7
0,-1.7
0,-1.7
0,-1.7
0,-1.5
21,-1.3
68,-1.1
99,-0.2
159,0.8
129,1.7
142,1.9
87,2
51,2.2
9,1.8
0,1.5
0,1.1
0,1.3
0,1.5
0,1.7
0,2.2
0,2.8
0,3.3
0,3.5
0,3.7
0,3.9
0,4.1
0,4.2
0,4.4
0,3.9
27,3.3
53,2.8
141,2.8
161,2.8
107,2.8
155,3.2
112,3.5
37,3.9
12,4.1
0,4.2
0,4.4
0,4.8
0,5.2
0,5.6
0,5.8
0,5.9
0,6.1
0,6.5
0,6.8
0,7.2
0,7.2
0,7.2
0,7.2
0,7.2
22,7.2
41,7.2
108,7.6
138,7.9
94,8.3
129,8.5
93,8.7
53,8.9
12,8.3
0,7.8
0,7.2
0,6.5
0,5.7
0,5
0,4.4
0,3.9
0,3.3
0,2.8
0,2.2
0,1.7
0,1.9
0,2
0,2.2
0,2.2
25,2.2
95,2.2
134,3.3
172,4.5
183,5.6
218,5.2
105,4.8
24,4.4
10,4
0,3.7
0,3.3
0,3.1
0,3
0,2.8
0,2.8
0,2.8
0,2.8
0,2.8
0,2.8
0,2.8
0,2.4
0,2.1
0,1.7
0,2.1
25,2.4
117,2.8
177,3.9
207,5
162,6.1
132,5.5
58,5
38,4.4
11,4
0,3.7
0,3.3
0,3.3
0,3.3
0,3.3
0,3.3
0,3.3
0,3.3
0,3.1
0,3
0,2.8
0,2.8
0,2.8
0,2.8
0,3
22,3.1
79,3.3
108,4.1
138,4.8
92,5.6
169,5.8
118,5.9
40,6.1
14,6.7
0,7.2
0,7.8
0,8
0,8.1
0,8.3
0,8.1
0,8
0,7.8
0,7.4
0,7.1
0,6.7
0,6.5
0,6.3
0,6.1
0,6.1
19,6.1
85,6.1
111,5.9
135,5.8
70,5.6
151,5.8
109,5.9
45,6.1
7,5.4
0,4.6
0,3.9
0,3.9
0,3.9
0,3.9
0,4.1
0,4.2
0,4.4
0,3.5
0,2.6
0,1.7
0,1.5
0,1.3
0,1.1
0,2
32,3
122,3.9
154,4.6
187,5.4
159,6.1
142,5.9
85,5.8
26,5.6
13,5.2
0,4.8
0,4.4
0,4.4
0,4.4
0,4.4
0,4.8
0,5.2
0,5.6
0,5.6
0,5.6
0,5.6
0,5.4
0,5.2
0,5
0,4.8
32,4.6
50,4.4
154,4.6
177,4.8
103,5
166,5.2
118,5.4
41,5.6
18,5.8
0,5.9
0,6.1
0,6.7
0,7.2
0,7.8
0,7.1
0,6.3
0,5.6
0,4.8
0,4.1
0,3.3
0,3.3
0,3.3
0,3.3
0,3.3
32,3.3
115,3.3
150,3.3
234,3.3
58,3.3
191,3.3
107,3.3
77,3.3
9,2.9
0,2.6
0,2.2
0,2.2
0,2.2
0,2.2
0,1.8
0,1.5
0,1.1
0,1.3
0,1.5
0,1.7
0,1.1
0,0.6
0,0
0,0.7
42,1.5
146,2.2
132,3.1
173,4.1
173,5
240,4.6
89,4.3
30,3.9
15,2.6
0,1.3
0,0
0,-0.2
0,-0.4
0,-0.6
0,-0.6
0,-0.6
0,-0.6
0,0
0,0.5
0,1.1
0,0.9
0,0.8
0,0.6
0,1.1
18,1.7
50,2.2
117,2.8
149,3.3
86,3.9
147,3.9
110,3.9
37,3.9
16,3.7
0,3.5
0,3.3
0,3.5
0,3.7
0,3.9
0,4.3
0,4.6
0,5
0,6.7
0,8.3
0,10
0,9.6
0,9.3
0,8.9
1,9.1
29,9.2
84,9.4
132,9.4
157,9.4
109,9.4
159,9.2
115,9.1
38,8.9
16,8.7
0,8.5
0,8.3
0,8.9
0,9.4
0,10
0,10.4
0,10.7
0,11.1
0,11.1
0,11.1
0,11.1
0,10.9
0,10.8
0,10.6
1,11
29,11.3
52,11.7
143,11.9
162,12
106,12.2
165,12
124,11.9
42,11.7
21,11.7
0,11.7
0,11.7
0,11.9
0,12
0,12.2
0,12.2
0,12.2
0,12.2
0,11.7
0,11.1
0,10.6
0,9.1
0,7.6
0,6.1
0,7.2
8,8.3
34,9.4
84,9.8
141,10.2
85,10.6
168,10.4
95,10.2
39,10
17,9.8
0,9.6
0,9.4
0,9.6
0,9.8
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,9.6
0,9.3
0,8.9
1,8.9
22,8.9
