sol_irr,T_amb
0,0
0,-0.6
0,-0.6
0,-1.7
0,-1.7
0,-1.7
0,-1.1
13,-0.6
53,0
101,1.1
248,2.8
188,4.4
151,5
121,5.6
139,6.1
79,5.6
22,5.6
0,4.4
0,4.4
0,3.9
0,3.9
0,3.3
0,2.8
0,3.9
0,3.3
0,3.3
0,3.9
0,3.3
0,3.3
0,3.9
0,3.3
11,3.9
60,5
124,5
203,7.8
226,8.3
137,7.2
125,6.7
107,6.7
53,6.1
17,6.1
0,6.1
0,6.1
0,6.1
0,6.1
0,7.2
0,6.7
0,6.1
0,7.2
0,6.1
0,6.1
0,6.7
0,6.7
0,6.7
0,6.1
10,6.1
48,6.7
93,6.7
114,7.2
154,7.8
139,7.2
128,7.2
109,7.8
97,6.1
27,6.1
0,6.1
0,6.7
0,5.6
0,5.6
0,6.1
0,6.1
0,6.7
0,6.7
0,6.7
0,6.7
0,6.7
0,6.7
0,6.1
0,6.1
10,6.7
42,7.8
84,8.9
126,8.9
138,9.4
144,10
123,10
95,10
60,10
15,9.4
0,8.9
0,8.9
0,8.9
0,8.9
0,8.9
0,8.3
0,8.3
0,8.3
0,8.3
0,7.8
0,7.8
0,7.8
0,7.8
0,7.8
15,7.8
66,8.3
134,8.3
183,9.4
230,10.6
273,11.7
269,12.2
291,13.3
150,12.8
33,11.1
0,10.6
0,8.9
0,8.3
0,7.8
0,6.7
0,6.7
0,6.1
0,5.6
0,4.4
0,3.9
0,4.4
0,5
0,5
0,5.6
9,5.6
51,6.7
115,6.7
136,8.3
188,10
232,10.6
214,11.1
103,11.7
76,11.1
22,10
0,10
0,9.4
0,8.9
0,7.8
0,7.8
0,7.2
0,6.1
0,5.6
0,6.7
0,7.2
0,6.7
0,7.2
0,7.2
0,7.2
13,7.2
62,7.2
121,7.2
167,7.8
232,8.3
237,8.3
204,8.9
143,8.9
52,9.4
20,8.3
0,7.8
0,7.8
0,8.3
0,7.8
0,7.8
0,7.8
0,7.8
0,7.8
0,7.8
0,7.8
0,7.8
0,7.2
0,7.2
0,7.2
16,7.2
69,7.8
135,8.3
284,8.9
171,10
322,11.1
200,11.1
112,11.1
76,11.7
25,11.1
0,11.1
0,10
0,9.4
0,8.3
0,8.9
0,9.4
0,10
0,10
0,10
0,10
0,10
0,9.4
0,9.4
0,9.4
13,9.4
77,10
103,10
120,10.6
207,11.7
225,12.8
153,13.3
155,13.9
85,13.9
22,13.3
0,12.2
0,12.8
0,12.2
0,11.7
0,11.7
0,11.1
0,11.1
0,11.1
0,10.6
0,10.6
0,10.6
0,10
0,10
0,10
15,10
53,10
158,11.1
174,11.7
211,12.2
237,12.2
212,12.2
168,12.2
99,12.2
31,11.7
0,11.1
0,10.6
0,10.6
0,10
0,8.9
0,8.9
0,10
0,10
0,8.9
0,7.8
0,8.9
0,8.3
0,6.7
0,5.6
12,4.4
104,7.8
245,10
369,11.1
442,11.7
427,12.2
410,12.2
294,12.2
166,12.2
39,10.6
0,8.9
0,8.3
0,6.7
0,6.1
0,5.6
0,5
0,5
0,5
0,3.9
0,3.3
0,2.8
0,2.2
0,1.7
0,1.1
19,0
104,3.9
246,5.6
373,8.3
448,10
448,10.6
261,12.2
199,11.1
124,11.7
27,9.4
0,8.3
0,7.2
0,6.7
0,7.2
0,7.2
0,8.9
0,7.2
0,5
0,5
0,3.3
0,5
0,3.9
0,5
0,3.9
15,4.4
98,6.1
223,8.3
348,10.6
245,10.6
339,11.1
352,12.8
236,13.3
122,12.8
29,11.7
0,11.1
0,10.6
0,10
0,10
0,10
0,8.3
0,8.9
0,8.3
0,8.9
0,8.9
0,8.9
0,8.3
0,7.8
0,6.7
26,7.8
88,8.9
155,9.4
242,11.1
310,12.2
378,12.8
304,13.9
180,13.9
83,14.4
23,12.2
2,11.7
0,11.7
0,11.1
0,10.6
0,10
0,11.7
0,11.1
0,10
0,9.4
0,9.4
0,9.4
0,8.9
0,8.3
0,7.8
14,7.8
61,8.3
164,9.4
249,10.6
315,12.8
231,12.2
352,12.8
257,13.3
125,12.2
31,11.7
0,10.6
0,10
0,10
0,8.9
0,8.9
0,8.3
0,8.3
0,8.3
0,8.3
0,8.9
0,8.3
0,8.9
0,8.9
0,8.3
3,8.3
35,8.3
92,8.9
255,10
345,10
309,11.1
316,12.8
203,11.1
77,11.1
29,10.6
0,10
0,10
0,9.4
0,8.9
0,8.9
0,8.3
0,8.3
0,8.9
0,8.9
0,8.3
0,7.8
0,7.2
0,6.7
0,6.7
6,6.7
38,7.2
64,7.2
110,7.8
134,7.8
112,7.2
111,7.2
149,8.3
93,8.9
23,8.9
0,8.9
0,8.3
0,7.2
0,7.8
0,7.8
0,7.2
0,5.6
0,5.6
0,4.4
0,4.4
0,4.4
0,3.9
0,3.3
0,2.2
19,1.7
125,3.9
271,6.1
377,8.3
456,10.6
454,11.7
427,12.8
323,13.3
192,13.3
62,11.7
2,10
0,8.3
0,6.1
0,6.7
0,6.1
0,5.6
0,5.6
0,5
0,5.6
0,5.6
0,4.4
0,5
0,4.4
0,4.4
21,5
130,6.7
285,8.3
416,9.4
492,11.1
474,12.8
435,13.3
342,13.9
200,12.2
56,10
2,8.3
0,7.2
0,5.6
0,5
0,4.4
0,3.3
0,3.3
0,3.9
0,3.3
0,2.8
0,2.8
0,3.3
0,2.8
0,2.8
20,2.8
133,4.4
287,7.2
422,10
502,10.6
515,12.2
472,12.8
370,13.9
225,12.8
60,11.7
3,9.4
0,7.8
0,6.1
0,4.4
0,4.4
0,3.9
0,3.3
0,3.9
0,3.9
0,3.3
0,2.8
0,2.8
0,3.3
0,3.3
20,3.9
116,6.7
271,8.9
358,12.2
425,13.9
456,17.2
428,19.4
326,18.9
170,17.8
53,17.8
2,16.1
0,8.9
0,7.2
0,6.7
0,5.6
0,5.6
0,5
0,5
0,5.6
0,3.9
0,3.9
0,3.3
0,2.2
0,2.2
22,1.7
112,5
265,8.9
384,11.1
458,12.2
469,13.9
427,14.4
337,14.4
158,13.9
49,12.8
1,11.1
0,10
0,8.3
0,6.1
0,6.1
0,6.1
0,5.6
0,5
0,4.4
0,4.4
0,3.9
0,3.9
0,3.9
0,3.9
16,2.8
118,6.1
226,8.3
414,11.1
422,12.8
438,13.3
385,14.4
338,14.4
154,15.6
58,13.9
2,11.7
0,8.9
0,8.3
0,12.2
0,11.7
0,7.2
0,7.2
0,5.6
0,5
0,5
0,4.4
0,3.9
0,3.9
0,2.8
25,2.8
145,6.1
307,10
439,12.2
509,15
530,16.1
491,16.7
388,17.2
243,16.7
83,15.6
7,12.8
0,10.6
0,8.9
0,7.8
0,7.2
0,7.2
0,7.2
0,7.2
0,6.1
0,5
0,5.6
0,5.6
0,4.4
0,5
31,5.6
135,6.7
298,10
404,11.1
485,15
436,16.1
472,16.7
366,18.3
223,17.8
81,16.7
8,13.3
0,12.2
0,11.1
0,10.6
0,7.8
0,7.8
0,6.1
0,7.2
0,5.6
0,5
0,6.1
0,5.6
0,4.4
0,4.4
32,5
110,7.2
170,10
234,12.8
172,13.9
256,15
196,16.1
171,15.6
125,15.6
49,14.4
10,12.8
0,11.1
0,10.6
0,8.9
0,7.2
0,7.2
0,7.2
0,7.2
0,6.1
0,5.6
0,5
0,5
0,4.4
0,4.4
24,4.4
82,8.3
197,9.4
367,13.3
435,14.4
471,17.2
461,17.8
288,18.3
119,17.2
63,16.1
4,15
0,12.8
0,10.6
0,9.4
0,9.4
0,8.3
0,8.9
0,8.9
0,8.9
0,8.3
0,7.8
0,8.9
0,7.8
0,7.2
18,7.2
96,10.6
207,12.8
208,13.9
320,14.4
426,16.1
283,16.1
151,15.6
93,15
24,14.4
4,12.8
0,12.8
0,12.2
0,11.7
0,11.1
0,10.6
0,11.7
0,11.1
0,11.1
0,10
0,10
0,10
0,10
0,10
16,10
77,10
143,11.1
244,12.8
128,13.3
300,14.4
119,13.3
87,12.8
134,12.8
24,12.2
6,12.2
0,11.1
0,10.6
0,10
0,10
0,10
0,10
0,8.9
0,7.8
0,7.2
0,6.1
0,5.6
0,4.4
0,3.9
32,3.3
69,5
150,6.7
200,8.9
369,9.4
508,9.4
481,10
367,11.7
238,12.2
94,11.7
13,9.4
0,8.9
0,7.2
0,6.7
0,5.6
0,5
0,3.9
0,3.9
0,3.3
0,1.7
0,1.7
0,2.2
0,2.2
0,2.2
10,2.8
74,4.4
339,7.2
465,9.4
551,11.1
573,12.8
530,13.9
391,13.9
238,14.4
69,12.8
10,11.7
0,10
0,9.4
0,7.8
0,7.8
0,7.8
0,7.8
0,7.8
0,7.8
0,7.8
0,7.8
0,7.6
0,7.4
0,7.2
27,9.8
131,12.4
288,15
461,16.7
489,18.3
435,20
432,20.2
395,20.4
174,20.6
55,18.7
11,16.9
0,15
0,13.7
0,12.4
0,11.1
0,9.8
0,8.5
0,7.2
0,6.7
0,6.1
0,5.6
0,5
0,4.5
0,3.9
32,6.7
157,9.4
324,12.2
458,14.6
539,17
564,19.4
520,20.2
417,20.9
267,21.7
102,19.5
13,17.2
0,15
0,13.3
0,11.7
0,10
0,9.1
0,8.1
0,7.2
0,6.3
0,5.3
0,4.4
0,4
0,3.7
0,3.3
36,5.7
174,8.2
343,10.6
479,12.6
558,14.7
580,16.7
536,16.3
434,16
284,15.6
107,13.4
14,11.1
0,8.9
0,9.1
0,9.2
0,9.4
0,9.4
0,9.4
0,9.4
0,8.7
0,7.9
0,7.2
0,7.2
0,7.2
0,7.2
33,6.5
97,5.7
300,5
320,6.9
353,8.7
531,10.6
493,10.6
301,10.6
232,10.6
83,10
10,9.5
0,8.9
0,8.2
0,7.4
0,6.7
0,5.6
0,4.4
0,3.3
0,2.4
0,1.5
0,0.6
0,0.6
0,0.6
0,0.6
13,0.4
48,0.2
179,0
163,2.4
220,4.8
224,7.2
237,7.6
190,7.9
74,8.3
72,7
13,5.7
0,4.4
0,4.6
0,4.8
0,5
0,5.2
0,5.4
0,5.6
0,5.2
0,4.8
0,4.4
0,3.7
0,2.9
0,2.2
29,2.9
98,3.7
180,4.4
237,5.3
285,6.3
281,7.2
360,8.1
418,9.1
193,10
106,8.7
21,7.4
0,6.1
0,5
0,3.9
0,2.8
0,3.2
0,3.5
0,3.9
0,4.3
0,4.6
0,5
0,4.4
0,3.9
0,3.3
31,4.6
128,5.9
293,7.2
364,9.2
352,11.3
444,13.3
391,13.5
260,13.7
148,13.9
74,13
15,12
0,11.1
0,10.7
0,10.4
0,10
0,9.3
0,8.5
0,7.8
0,7.8
0,7.8
0,7.8
0,7.8
0,7.8
0,7.8
21,8.9
74,10
184,11.1
258,11.7
219,12.2
139,12.8
255,12.6
151,12.4
137,12.2
48,11.7
12,11.1
0,10.6
0,10.2
0,9.8
0,9.4
0,9
0,8.7
0,8.3
0,8.1
0,8
0,7.8
0,7.4
0,7.1
0,6.7
32,8.4
113,10
321,11.7
440,13.7
624,15.8
482,17.8
537,17.1
339,16.3
238,15.6
121,13.9
19,12.3
0,10.6
0,9.5
0,8.3
0,7.2
0,7.4
0,7.6
0,7.8
0,6.7
0,5.5
0,4.4
0,3.3
0,2.2
0,1.1
38,3.5
179,5.9
351,8.3
492,10.3
578,12.4
600,14.4
558,15.7
452,17
298,18.3
125,16.3
20,14.2
0,12.2
0,10.9
0,9.6
0,8.3
0,7.8
0,7.2
0,6.7
0,5.9
0,5.2
0,4.4
0,3.7
0,2.9
0,2.2
39,4.6
185,7
357,9.4
498,11.5
582,13.5
605,15.6
561,16.3
456,17.1
302,17.8
129,16.1
22,14.5
0,12.8
0,10.8
0,8.7
0,6.7
0,6.5
0,6.3
0,6.1
0,5.5
0,5
0,4.4
0,4.2
0,4.1
0,3.9
47,6.1
203,8.4
387,10.6
526,13
614,15.4
631,17.8
589,18
488,18.1
335,18.3
154,16.8
30,15.4
0,13.9
0,12.6
0,11.3
0,10
0,9.4
0,8.9
0,8.3
0,7.8
0,7.2
0,6.7
0,7.4
0,8.2
0,8.9
16,9.8
88,10.8
147,11.7
197,13.2
211,14.6
249,16.1
219,15
244,13.9
82,12.8
75,12.6
23,12.4
0,12.2
0,12.4
0,12.6
0,12.8
0,12.2
0,11.7
0,11.1
0,10.2
0,9.2
0,8.3
0,8.1
0,8
0,7.8
27,8.5
138,9.3
160,10
258,10.7
197,11.5
260,12.2
196,12
185,11.9
110,11.7
58,11.1
21,10.6
0,10
0,9.8
0,9.6
0,9.4
0,9.2
0,9.1
0,8.9
0,8.5
0,8.2
0,7.8
0,8.2
0,8.5
0,8.9
33,9.3
119,9.6
180,10
279,10.9
297,11.9
329,12.8
376,13.3
394,13.9
311,14.4
124,13.3
25,12.2
0,11.1
0,9.8
0,8.5
0,7.2
0,7
0,6.9
0,6.7
0,6.9
0,7
0,7.2
0,7.4
0,7.6
0,7.8
28,7.8
84,7.8
177,7.8
211,8.3
281,8.9
158,9.4
293,9.6
258,9.8
185,10
106,10
25,10
0,10
0,9.8
0,9.6
0,9.4
0,9.8
0,10.2
0,10.6
0,10.4
0,10.2
0,10
0,10
0,10
0,10
38,10.4
125,10.7
198,11.1
329,12
340,13
513,13.9
490,14.6
444,15.4
295,16.1
150,14.8
26,13.5
0,12.2
0,11.7
0,11.1
0,10.6
0,10.6
0,10.6
0,10.6
0,10.4
0,10.2
0,10
0,9.8
0,9.6
0,9.4
36,10.3
185,11.3
351,12.2
493,13.3
582,14.5
605,15.6
561,15.6
453,15.6
298,15.6
130,14.1
27,12.6
0,11.1
0,10.4
0,9.6
0,8.9
0,9.8
0,10.8
0,11.7
0,10.6
0,9.4
0,8.3
0,7.9
0,7.6
0,7.2
42,7.9
143,8.7
220,9.4
433,11.1
534,12.7
626,14.4
567,14.6
417,14.8
369,15
149,13.5
36,12.1
0,10.6
0,9.1
0,7.6
0,6.1
0,6.1
0,6.1
0,6.1
0,5.4
0,4.6
0,3.9
0,3.5
0,3.2
1,2.8
60,4.8
233,6.9
412,8.9
556,11.1
597,13.4
636,15.6
603,16
482,16.3
340,16.7
157,14.8
31,13
0,11.1
0,9.6
0,8.2
0,6.7
0,6.3
0,6
0,5.6
0,4.8
0,4.1
0,3.3
0,3.3
0,3.3
1,3.3
64,5.5
239,7.8
417,10
523,11.9
600,13.7
574,15.6
575,16.3
497,17.1
344,17.8
142,16.3
29,14.8
0,13.3
0,12.2
0,11.1
0,10
0,9.1
0,8.1
0,7.2
0,6.7
0,6.1
0,5.6
0,5
0,4.5
3,3.9
67,6.7
241,9.4
346,12.2
380,14.1
467,15.9
415,17.8
327,17.2
225,16.7
242,16.1
88,15
25,13.9
0,12.8
0,11.3
0,9.8
0,8.3
0,7.4
0,6.5
0,5.6
0,5.4
0,5.2
0,5
0,5.2
0,5.4
0,5.6
61,7.4
131,9.3
144,11.1
300,11.7
255,12.2
259,12.8
259,13.7
270,14.7
149,15.6
110,13.9
20,12.3
0,10.6
0,10
0,9.5
0,8.9
0,8.5
0,8.2
0,7.8
0,7.4
0,7.1
0,6.7
0,6.9
0,7
3,7.2
70,9.1
246,10.9
379,12.8
445,13.9
484,15
607,16.1
585,16.3
503,16.5
366,16.7
186,15
44,13.4
0,11.7
0,10.8
0,9.8
0,8.9
0,8.9
0,8.9
0,8.9
0,8.7
0,8.5
0,8.3
0,8.3
0,8.3
2,8.3
41,9.6
104,10.9
146,12.2
237,12.9
302,13.7
300,14.4
299,14.6
235,14.8
175,15
96,13.9
28,12.8
0,11.7
0,11.5
0,11.3
0,11.1
0,10.9
0,10.8
0,10.6
0,10.2
0,9.8
0,9.4
0,9
0,8.7
6,8.3
76,10.5
208,12.8
325,15
540,17.2
557,19.5
622,21.7
625,21.7
508,21.7
287,21.7
179,19.7
44,17.6
0,15.6
0,14.7
0,13.7
0,12.8
0,12.1
0,11.3
0,10.6
0,10.2
0,9.8
0,9.4
0,9.4
0,9.4
0,9.4
41,10.7
138,12
237,13.3
313,15.7
585,18.2
550,20.6
428,20.6
325,20.6
318,20.6
143,18.9
35,17.3
0,15.6
0,15
0,14.5
0,13.9
0,13.7
0,13.5
0,13.3
0,12.9
0,12.6
0,12.2
0,12.2
0,12.2
3,12.2
57,13.3
169,14.5
188,15.6
303,16.7
497,17.8
537,18.9
570,19.5
560,20
344,20.6
189,18.9
41,17.3
0,15.6
0,14.7
0,13.7
0,12.5
0,11.2
0,10
0,8.7
0,7.5
0,6.2
0,5
0,4.4
0,3.9
8,3.3
94,5.6
228,7.8
347,8.3
603,12.2
673,14.4
716,16.1
630,16.7
502,17.8
329,16.1
129,15
35,13.9
0,12.2
0,11.1
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,8.9
0,8.3
0,8.3
6,6.7
71,8.9
175,11.7
404,13.9
366,15.6
549,17.2
373,17.2
241,17.8
276,17.8
149,17.8
58,17.8
21,16.7
0,16.1
0,15
0,14.4
0,13.9
0,13.3
0,12.8
0,13.3
0,11.7
0,11.1
0,11.1
0,11.7
0,11.7
7,10.6
55,11.1
292,13.9
425,15
490,17.2
573,18.9
695,20.6
517,20
400,20
213,19.4
169,18.9
31,17.8
0,16.7
0,15.6
0,14.4
0,14.4
0,13.9
0,12.2
0,11.7
0,11.1
0,10.6
0,10
0,9.4
0,8.9
7,8.3
54,9.4
112,14.4
233,15
276,16.7
271,17.2
300,16.7
283,16.1
248,16.7
179,16.7
123,15
38,14.4
0,14.4
0,14.4
0,16.7
0,16.7
0,15
0,13.9
0,12.8
0,12.2
0,11.7
0,11.7
0,11.7
0,11.7
6,12.2
36,12.8
92,12.8
146,13.3
200,13.3
210,13.3
208,13.9
195,13.9
187,13.9
135,13.9
80,12.2
38,12.8
0,12.8
0,12.2
0,12.2
0,12.2
0,11.7
0,11.7
0,11.1
0,11.1
0,10.6
0,10
0,10
0,10
9,10
72,10.6
132,12.2
289,13.3
448,14.4
605,16.1
699,16.7
663,17.2
539,17.8
358,17.2
176,16.7
30,16.1
0,14.4
0,12.8
0,11.7
0,11.7
0,11.1
0,10.6
0,9.4
0,8.3
0,7.8
0,7.2
0,6.1
0,6.7
14,6.1
113,8.3
302,10.6
409,12.8
511,14.4
497,16.1
325,16.7
504,17.2
382,16.7
263,16.1
147,15
36,13.9
0,12.8
0,12.2
0,11.7
0,11.1
0,10
0,9.4
0,10
0,8.9
0,8.9
0,8.3
0,8.3
0,8.3
14,8.9
34,9.4
160,10
218,10.6
152,10
290,11.1
311,12.2
302,11.7
442,13.3
297,15
219,14.4
41,12.2
1,11.7
0,10.6
0,11.1
0,10.6
0,10
0,8.9
0,8.3
0,7.8
0,7.2
0,5.6
0,5.6
0,4.4
2,6.1
72,5.6
140,6.1
201,7.8
613,11.1
718,12.8
651,17.2
686,17.2
569,17.2
428,18.3
225,17.8
59,16.1
2,14.4
0,13.9
0,11.7
0,10
0,10
0,8.9
0,8.3
0,7.8
0,7.8
0,7.8
0,7.8
0,8.3
11,8.3
78,9.4
141,9.4
257,10
258,12.2
236,13.3
341,13.9
302,15
335,15.6
247,15.6
64,15.6
28,13.3
1,11.7
0,11.7
0,11.7
0,11.7
0,11.7
0,11.1
0,11.7
0,11.7
0,11.7
0,11.1
0,11.1
0,11.7
6,12.2
32,11.7
130,13.9
286,16.1
457,17.8
609,17.8
536,19.4
571,18.3
346,18.9
222,17.8
83,17.2
30,16.7
0,15.6
0,13.9
0,12.8
0,12.2
0,12.8
0,12.2
0,11.7
0,10.6
0,10.6
0,9.4
0,9.4
0,10
12,11.1
54,12.2
134,13.3
209,13.3
249,15
309,16.1
204,16.1
225,14.4
164,14.4
118,14.4
125,14.4
43,13.9
2,13.3
0,11.1
0,11.1
0,11.1
0,10.6
0,10
0,10
0,9.4
0,9.4
0,9.4
0,8.9
0,7.8
22,8.3
126,10.6
287,13.3
302,13.9
470,15
591,16.1
689,17.2
605,17.2
617,17.8
380,16.1
162,15.6
55,13.9
1,12.2
0,12.2
0,11.1
0,10.6
0,10
0,10
0,10.6
0,10
0,10
0,10
0,10
0,10
9,9.4
41,10
114,10
283,10.6
160,10.6
320,10.6
241,11.1
316,12.2
331,13.3
264,14.4
120,12.8
62,12.2
4,10
0,8.9
0,8.9
0,8.3
0,8.3
0,7.2
0,7.2
0,7.2
0,6.7
0,6.1
0,4.4
0,4.4
22,4.4
142,7.2
338,9.4
527,10.6
632,11.7
676,12.8
744,14.4
703,15.6
562,16.1
414,16.7
244,16.1
65,15
1,13.3
0,11.1
0,10.6
0,10
0,8.3
0,8.3
0,8.3
0,8.3
0,7.2
0,6.7
0,7.2
0,6.7
35,6.1
178,8.3
357,10.6
569,12.8
710,14.4
793,16.1
817,17.2
766,17.8
603,18.3
457,18.3
262,17.8
85,17.2
6,14.4
0,11.7
0,10
0,10
0,9.4
0,8.9
0,7.8
0,6.7
0,6.7
0,6.7
0,6.1
0,5.6
35,6.7
167,8.9
363,11.1
539,13.3
661,15
714,16.7
645,17.2
675,19.4
573,19.4
458,20
211,17.8
40,15
4,14.4
0,12.8
0,11.7
0,11.7
0,11.7
0,11.1
0,11.1
0,10
0,8.9
0,7.8
0,6.7
0,6.1
22,7.8
100,11.1
258,10.6
216,11.1
514,11.1
607,15
705,13.9
611,15.6
526,14.4
375,15.6
235,14.4
56,12.2
2,10
0,8.3
0,7.8
0,6.7
0,5.6
0,4.4
0,3.9
0,3.9
0,2.8
0,2.2
0,1.7
0,1.1
36,2.2
158,5.6
397,8.3
554,10.6
615,11.1
769,12.2
775,13.3
726,13.3
586,13.9
391,13.3
197,13.3
79,11.7
8,9.4
0,10
0,7.2
0,6.7
0,6.1
0,5
0,5
0,3.9
0,2.8
0,2.2
0,1.1
0,1.1
39,1.7
177,5.6
363,8.3
520,10
505,11.7
428,12.2
528,13.9
318,13.9
405,13.9
366,13.3
135,12.8
39,11.7
5,10.6
0,10
0,9.4
0,8.9
0,8.3
0,8.3
0,8.3
0,8.9
0,7.8
0,6.1
0,6.1
0,6.1
36,6.7
182,7.2
269,8.9
520,11.1
588,11.7
795,12.8
802,11.7
744,10.6
647,8.9
351,9.4
176,8.9
40,8.3
7,6.7
0,6.1
0,5.6
0,5
0,4.4
0,4.4
0,3.9
0,3.9
0,2.8
0,2.2
0,1.7
0,1.1
41,1.7
213,3.9
420,7.2
566,9.4
703,10.6
810,11.7
797,13.3
756,14.4
606,15
414,15
191,15
42,13.3
4,11.7
0,10.6
0,10
0,9.4
0,9.4
0,9.4
0,10
0,8.9
0,8.3
0,7.8
0,7.8
0,7.8
12,7.8
61,8.3
119,8.3
287,8.3
210,8.3
212,8.9
373,9.4
529,11.1
408,11.7
420,11.7
270,11.1
108,11.1
11,10
0,8.9
0,7.2
0,6.7
0,6.1
0,6.1
0,5
0,5
0,5
0,4.4
0,3.3
0,4.4
38,5.6
197,7.2
405,8.9
595,11.1
735,14.4
815,16.7
831,17.8
780,18.9
662,18.9
491,18.9
288,18.9
92,17.8
8,15.6
0,14.4
0,13.3
0,12.2
0,10.6
0,10.6
0,9.4
0,7.8
0,7.8
0,8.3
0,6.7
0,5.6
53,6.7
231,9.4
443,11.1
629,13.9
768,15
847,17.2
861,18.9
809,20
694,20.6
523,21.1
297,20.6
102,19.4
14,17.8
0,13.3
0,11.7
0,11.1
0,11.7
0,9.4
0,9.4
0,8.3
0,7.2
0,6.7
0,6.7
0,6.7
53,7.2
216,10
419,12.8
619,15.6
718,17.2
776,18.3
799,19.4
726,19.4
662,20.6
486,20.6
266,20.6
101,18.3
12,16.1
0,13.3
0,11.7
0,13.9
0,12.8
0,11.7
0,11.7
0,10
0,10
0,8.3
0,8.3
0,7.2
48,8.3
225,11.1
435,13.3
622,15.6
759,17.2
843,18.9
862,20
804,20.6
690,21.1
521,21.1
311,20.6
107,18.9
12,16.7
0,16.1
0,14.4
0,12.2
0,11.7
0,10.6
0,10
0,7.8
0,7.8
0,7.2
0,7.2
0,6.7
57,8.3
248,11.1
462,13.9
649,16.7
790,17.8
871,18.9
880,20
825,21.1
710,21.7
539,21.7
332,21.1
122,20
15,18.3
0,15.6
0,13.9
0,12.2
0,11.1
0,11.1
0,12.2
0,9.4
0,10
0,8.9
0,7.2
0,6.1
62,6.7
254,11.1
466,13.3
651,16.1
789,17.8
866,19.4
879,21.7
821,22.2
702,21.7
535,22.8
311,21.7
115,20.6
17,17.8
0,15
0,13.9
0,12.8
0,12.2
0,11.1
0,10
0,10
0,10
0,10
0,8.9
0,8.3
61,8.9
240,11.7
445,14.4
567,17.2
712,19.4
764,21.7
808,22.8
768,23.9
622,24.4
494,24.4
288,23.3
105,22.8
12,20
0,17.8
0,15
0,15.6
0,13.9
0,12.2
0,11.7
0,11.7
0,9.4
0,8.9
0,8.9
0,8.9
54,8.9
175,13.3
352,17.2
566,18.9
715,20
735,22.8
666,24.4
656,25
548,24.4
366,23.9
205,24.4
88,22.2
11,18.9
0,16.1
0,15
0,14.3
0,13.6
0,12.9
0,12.1
0,11.4
0,10.7
0,10
0,8.9
0,8.9
65,11.7
257,16.1
461,18.9
634,21.1
776,22.2
856,23.9
829,25
788,26.1
711,27.2
540,26.7
358,26.7
164,26.7
0,21.1
0,17.8
0,15.6
0,14.4
0,13.3
0,12.8
0,12.2
0,12.2
0,11.1
0,10.6
0,10
0,8.9
69,10
262,12.2
462,15
640,17.2
765,20
862,22.2
859,22.8
813,22.8
690,22.2
509,21.7
330,19.4
179,16.7
0,14.4
0,12.8
0,11.7
0,11.1
0,11.1
0,10.6
0,10.6
0,10.6
0,10
0,10
0,10
0,9.4
69,10.6
256,12.2
458,14
625,14.4
794,16.7
827,17.2
829,18.3
788,18.3
696,18.3
553,17.8
346,16.1
174,13.9
0,12.8
0,11.7
0,11.1
0,11.1
0,10.6
0,10.6
0,10
0,10
0,9.4
0,8.9
0,9.4
0,8.9
74,10
231,11.1
235,11.7
194,12.8
261,14
290,14.4
258,14.4
243,14.4
223,14.4
206,13.9
203,13.9
169,13.3
0,12.2
0,11.7
0,11.7
0,11.1
0,11.1
0,11.7
0,11.7
0,11.7
0,10.6
0,11.7
0,10.6
0,10
29,11.1
99,12.2
135,13.3
459,13.9
551,14.4
833,15.6
792,16.7
378,17.8
621,18.3
551,17.2
220,16.1
146,15
1,13.9
0,13.9
0,13.3
0,11.1
0,11.1
0,9.4
0,8.9
0,8.3
0,7.8
0,8.3
0,7.2
0,7
88,8.9
277,11.7
471,13.9
654,16.1
778,17.8
863,18.9
768,20
832,20.6
716,21.1
558,20.6
377,18.9
178,17.2
1,13.3
0,12.2
0,11.7
0,10.6
0,10.6
0,10
0,10
0,9.7
0,9.4
0,9.4
0,9.4
0,10
93,10
261,11.1
452,11.1
546,11.7
744,12.8
822,15
903,18.3
838,20
648,21.1
543,21.7
297,21.1
190,20
2,17.8
0,16.7
0,15
0,13.9
0,13.3
0,12.8
0,11.7
0,11.1
0,10.6
0,10
0,10
0,9.4
79,11.1
249,13.9
488,15
671,17.2
813,17.8
887,18.9
841,18.9
806,18.9
580,18.3
308,17.8
244,16.7
135,15
