sol_irr,T_amb
0,5
0,5
0,5
0,5.6
0,6.1
0,7.8
0,6.7
0,6.7
11,7.8
58,7.8
101,8.9
62,9.4
73,6.1
106,6.7
72,6.7
35,6.1
4,6.1
0,6.1
0,6.1
0,6.1
0,5.6
0,6.1
0,6.1
0,6.1
0,6.7
0,6.1
0,6.1
0,6.7
0,6.1
0,6.1
0,6.1
0,6.7
14,6.7
63,6.7
106,8.3
148,8.9
82,7.8
80,8.3
80,7.8
44,7.8
4,8.9
0,9.4
0,8.9
0,8.3
0,7.2
0,6.7
0,6.7
0,7.2
0,7.2
0,8.9
0,8.3
0,8.3
0,7.8
0,7.8
0,7.8
0,7.2
27,7.2
81,7.2
199,7.8
84,7.8
150,8.9
136,8.9
48,8.3
28,7.8
5,7.2
0,7.2
0,6.7
0,7.2
0,7.2
0,7.2
0,7.2
0,6.7
0,6.1
0,6.1
0,6.1
0,5.6
0,5.6
0,5
0,6.1
0,5.6
13,5.6
35,5.6
101,6.7
124,6.7
124,7.8
108,7.8
98,7.8
48,7.8
5,7.2
0,6.7
0,5
0,4.4
0,4.4
0,5
0,3.9
0,3.3
0,1.7
0,2.8
0,2.2
0,0
0,0
0,-1.1
0,0.6
0,0.6
39,-0.6
149,2.8
116,2.2
142,2.8
121,3.3
258,5
197,6.7
89,6.1
19,3.9
0,3.3
0,2.2
0,2.2
0,2.8
0,2.8
0,0
0,-0.6
0,-2.2
0,-1.7
0,-1.7
0,-1.7
0,-1.1
0,-1.7
0,-2.2
0,-2.8
30,-2.2
126,-1.1
190,-0.6
259,0.6
259,1.1
161,3.9
176,3.3
70,3.3
9,1.7
0,1.1
0,0.6
0,1.1
0,1.1
0,0.6
0,0
0,-1.1
0,-1.7
0,-1.7
0,-1.7
0,-1.7
0,-2.2
0,-2.2
0,-2.2
0,-3.9
22,-3.3
118,-2.2
167,-1.7
282,-0.6
274,0.6
276,2.8
197,3.3
89,2.8
15,2.2
0,1.7
0,2.2
0,0
0,-0.6
0,0.6
0,1.1
0,-1.1
0,-0.6
0,0
0,-1.7
0,-2.2
0,-1.7
0,-2.2
0,-3.9
0,-3.3
20,-1.7
69,-1.7
243,0.6
303,1.7
316,4.4
279,5
198,5.6
91,4.4
16,2.2
0,3.3
0,3.3
0,2.8
0,2.2
0,2.8
0,2.8
0,2.2
0,2.2
0,1.1
0,1.7
0,0.6
0,0.6
0,-1.7
0,-0.6
0,0
30,0.6
116,2.2
212,4.4
272,6.7
287,6.7
209,7.8
130,5.6
57,5
7,5
0,5
0,5.6
0,5.6
0,5
0,5.6
0,5.6
0,6.1
0,6.1
0,5.6
0,5.6
0,5.6
0,5.6
0,5
0,3.9
0,5
39,5.6
134,6.7
154,7.2
121,7.8
151,8.9
71,9.4
115,8.9
62,10
14,10
0,9.4
0,9.4
0,8.9
0,9.4
0,10
0,8.9
0,8.9
0,9.4
0,10
0,9.4
0,9.4
0,10
0,10
0,9.4
0,9.4
21,10
95,10.6
115,11.1
151,11.1
181,11.7
252,14.4
114,14.4
46,14.4
10,12.2
0,12.8
0,12.2
0,12.8
0,11.1
0,11.1
0,9.4
0,8.3
0,8.3
0,9.4
0,7.8
0,7.2
0,6.7
0,6.7
0,6.7
0,6.7
23,6.7
36,6.7
110,7.2
79,7.2
185,7.8
163,8.3
56,7.2
69,7.8
9,7.2
0,6.7
0,5
0,5.6
0,5.6
0,5.6
0,5
0,4.4
0,3.9
0,3.9
0,3.9
0,3.9
0,3.3
0,3.3
0,2.8
1,2.8
30,2.8
91,3.3
130,3.9
145,4.4
114,5
141,5
76,5
24,3.3
4,2.2
0,1.1
0,0.6
0,0.6
0,0.6
0,0.6
0,0.6
0,0.6
0,1.1
0,1.7
0,2.2
0,1.7
0,2.2
0,2.2
0,2.2
1,2.2
17,2.2
112,2.8
158,2.8
309,3.9
228,5
250,5
198,5
94,3.9
17,2.8
0,2.2
0,1.1
0,1.1
0,0.6
0,0.6
0,0
0,-0.6
0,-1.7
0,-1.7
0,-2.8
0,-3.3
0,-2.8
0,-2.2
0,-3.3
1,-3.9
33,-2.8
120,-1.1
143,0
210,0.6
248,1.7
183,2.2
100,1.7
47,1.7
15,1.1
0,0.6
0,1.1
0,-1.1
0,0.6
0,0
0,0
0,-0.6
0,-0.6
0,-1.1
0,-1.7
0,-2.2
0,-2.2
0,-2.2
0,-1.7
0,-1.1
28,-0.6
80,0
70,1.1
215,1.7
161,2.2
128,2.2
99,2.2
65,2.2
13,1.7
0,1.7
0,1.7
0,1.7
0,1.7
0,1.7
0,1.7
0,1.7
0,1.1
0,1.1
0,1.1
0,1.7
0,1.7
