sol_irr,T_amb,wind_pow
0,-5,0.427
0,-5,0.464
0,-5,0.483
0,-5,0.472
0,-5.4,0.454
0,-5.7,0.449
0,-6.1,0.46
0.002,-5,0.482
0.262,-3.9,0.457
0.501,-2.8,0.273
0.656,-0.9,0.133
0.739,0.9,0.087
0.776,2.8,0.069
0.762,3.2,0.062
0.699,3.5,0.066
0.58,3.9,0.084
0.394,1.9,0.114
0.128,-0.2,0.211
0,-2.2,0.313
0,-2.4,0.388
0,-2.6,0.43
0,-2.8,0.434
0,-2.6,0.417
0,-2.4,0.402
0,-2.2,0.393
0,-2,0.391
0,-1.9,0.392
0,-1.7,0.393
0,-1.7,0.398
0,-1.7,0.422
0,-1.7,0.457
0.002,-1.5,0.484
0.246,-1.3,0.432
0.487,-1.1,0.233
0.642,-0.2,0.126
0.726,0.8,0.181
0.77,1.7,0.116
0.755,1.9,0.094
0.69,2,0.112
0.572,2.2,0.15
0.382,1.8,0.201
0.114,1.5,0.315
0,1.1,0.391
0,1.3,0.355
0,1.5,0.298
0,1.7,0.285
0,2.2,0.314
0,2.8,0.343
0,3.3,0.347
0,3.5,0.332
0,3.7,0.312
0,3.9,0.291
0,4.1,0.286
0,4.2,0.315
0,4.4,0.364
0.002,3.9,0.413
0.247,3.3,0.41
0.485,2.8,0.279
0.643,2.8,0.27
0.732,2.8,0.429
0.782,2.8,0.389
0.766,3.2,0.364
0.698,3.5,0.375
0.574,3.9,0.374
0.376,4.1,0.335
0.105,4.2,0.343
0,4.4,0.408
0,4.8,0.462
0,5.2,0.505
0,5.6,0.521
0,5.8,0.485
0,5.9,0.425
0,6.1,0.355
0,6.5,0.289
0,6.8,0.227
0,7.2,0.197
0,7.2,0.208
0,7.2,0.249
0,7.2,0.291
0.002,7.2,0.319
0.235,7.2,0.305
0.484,7.2,0.177
0.647,7.6,0.096
0.735,7.9,0.111
0.786,8.3,0.103
0.772,8.5,0.111
0.706,8.7,0.138
0.587,8.9,0.166
0.397,8.3,0.206
0.124,7.8,0.376
0,7.2,0.567
0,6.5,0.609
0,5.7,0.599
0,5,0.584
0,4.4,0.538
0,3.9,0.473
0,3.3,0.413
0,2.8,0.369
0,2.2,0.358
0,1.7,0.398
0,1.9,0.457
0,2,0.519
0,2.2,0.584
0.001,2.2,0.651
0.134,2.2,0.653
0.277,2.2,0.713
0.549,3.3,0.677
0.711,4.5,0.58
0.761,5.6,0.502
0.763,5.2,0.495
0.698,4.8,0.565
0.569,4.4,0.656
0.365,4,0.724
0.066,3.7,0.732
0,3.3,0.707
0,3.1,0.722
0,3,0.741
0,2.8,0.762
0,2.8,0.783
0,2.8,0.788
0,2.8,0.774
0,2.8,0.77
0,2.8,0.757
0,2.8,0.752
0,2.4,0.759
0,2.1,0.785
0,1.7,0.826
0.001,2.1,0.846
0.208,2.4,0.839
0.467,2.8,0.876
0.633,3.9,0.857
0.729,5,0.852
0.77,6.1,0.87
0.755,5.5,0.885
0.684,5,0.885
0.563,4.4,0.882
0.355,4,0.879
0.084,3.7,0.837
0,3.3,0.817
0,3.3,0.822
0,3.3,0.788
0,3.3,0.76
0,3.3,0.78
0,3.3,0.799
0,3.3,0.792
0,3.1,0.796
0,3,0.831
0,2.8,0.845
0,2.8,0.827
0,2.8,0.782
0,2.8,0.728
0.001,3,0.676
0.128,3.1,0.579
0.333,3.3,0.618
0.515,4.1,0.568
0.643,4.8,0.441
0.734,5.6,0.328
0.745,5.8,0.243
0.678,5.9,0.179
0.547,6.1,0.13
0.347,6.7,0.118
0.086,7.2,0.249
0,7.8,0.446
0,8,0.472
0,8.1,0.432
0,8.3,0.395
0,8.1,0.358
0,8,0.337
0,7.8,0.324
0,7.4,0.328
0,7.1,0.347
0,6.7,0.388
0,6.5,0.432
0,6.3,0.484
0,6.1,0.538
0.002,6.1,0.586
0.211,6.1,0.558
0.455,6.1,0.507
0.613,5.9,0.697
0.698,5.8,0.789
0.742,5.6,0.78
0.707,5.8,0.7
0.616,5.9,0.592
0.512,6.1,0.508
0.292,5.4,0.425
0.055,4.6,0.422
0,3.9,0.52
0,3.9,0.643
0,3.9,0.747
0,3.9,0.793
0,4.1,0.8
0,4.2,0.77
0,4.4,0.746
0,3.5,0.726
0,2.6,0.704
0,1.7,0.683
0,1.5,0.666
0,1.3,0.649
0,1.1,0.633
0.002,2,0.606
0.125,3,0.504
0.32,3.9,0.358
0.516,4.6,0.497
0.697,5.4,0.544
0.769,6.1,0.484
0.758,5.9,0.43
0.688,5.8,0.404
0.557,5.6,0.398
0.346,5.2,0.354
0.08,4.8,0.356
0,4.4,0.474
