sol_irr,T_amb,wind_pow
0,-5,0.123
0,-5,0.123
0,-5,0.125
0.205,-5,0.142
0.445,-5.4,0.156
0.614,-5.7,0.176
0.716,-6.1,0.187
0.77,-5,0.194
0.777,-3.9,0.204
0.734,-2.8,0.214
0.64,-0.9,0.237
0.489,0.9,0.262
0.271,2.8,0.274
0.024,3.2,0.295
0,3.5,0.31
0,3.9,0.278
0,1.9,0.237
0,-0.2,0.204
0,-2.2,0.172
0,-2.4,0.128
0,-2.6,0.1
0,-2.8,0.086
0,-2.6,0.086
0,-2.4,0.104
0,-2.2,0.118
0,-2,0.122
0,-1.9,0.117
0.188,-1.7,0.123
0.429,-1.7,0.137
0.6,-1.7,0.147
0.708,-1.7,0.16
0.764,-1.5,0.181
0.77,-1.3,0.215
0.726,-1.1,0.261
0.631,-0.2,0.282
0.476,0.8,0.302
0.255,1.7,0.323
0.021,1.9,0.3
0,2,0.259
0,2.2,0.231
0,1.8,0.201
0,1.5,0.157
0,1.1,0.112
0,1.3,0.084
0,1.5,0.078
0,1.7,0.084
0,2.2,0.087
0,2.8,0.082
0,3.3,0.069
0,3.5,0.058
0,3.7,0.054
0.198,3.9,0.054
0.441,4.1,0.059
0.611,4.2,0.07
0.721,4.4,0.066
0.776,3.9,0.055
0.782,3.3,0.045
0.739,2.8,0.044
0.647,2.8,0.05
0.498,2.8,0.064
0.279,2.8,0.076
0.026,3.2,0.096
0,3.5,0.101
0,3.9,0.086
0,4.1,0.065
0,4.2,0.038
0,4.4,0.013
0,4.8,0.002
0,5.2,0
0,5.6,0
0,5.8,0
0,5.9,0
0,6.1,0
0,6.5,0
0,6.8,0
0.218,7.2,0
0.456,7.2,0
0.623,7.2,0
0.727,7.2,0.003
0.778,7.2,0.007
0.782,7.2,0.008
0.739,7.2,0.013
0.645,7.6,0.023
0.493,7.9,0.029
0.273,8.3,0.034
0.026,8.5,0.06
0,8.7,0.063
0,8.9,0.037
0,8.3,0.009
0,7.8,0.001
0,7.2,0
0,6.5,0
0,5.7,0
0,5,0.002
0,4.4,0.005
0,3.9,0.011
0,3.3,0.021
0,2.8,0.041
0,2.2,0.09
0.211,1.7,0.171
0.447,1.9,0.151
0.611,2,0.114
0.703,2.2,0.158
0.749,2.2,0.215
0.75,2.2,0.223
0.709,2.2,0.204
0.609,3.3,0.181
0.448,4.5,0.167
0.219,5.6,0.164
0.015,5.2,0.209
0,4.8,0.244
0,4.4,0.241
0,4,0.211
0,3.7,0.164
0,3.3,0.114
0,3.1,0.071
0,3,0.04
0,2.8,0.021
0,2.8,0.018
0,2.8,0.023
0,2.8,0.04
0,2.8,0.075
0,2.8,0.105
0.157,2.8,0.106
0.393,2.4,0.101
0.573,2.1,0.116
0.68,1.7,0.137
0.726,2.1,0.159
0.74,2.4,0.172
0.698,2.8,0.188
0.603,3.9,0.218
0.454,5,0.263
0.238,6.1,0.326
0.019,5.5,0.387
0,5,0.404
0,4.4,0.378
0,4,0.347
0,3.7,0.332
0,3.3,0.311
0,3.3,0.283
0,3.3,0.277
0,3.3,0.259
0,3.3,0.225
0,3.3,0.191
0,3.3,0.16
0,3.1,0.154
0,3,0.171
0.191,2.8,0.183
0.429,2.8,0.173
0.602,2.8,0.158
0.712,2.8,0.137
0.768,3,0.112
0.773,3.1,0.087
0.716,3.3,0.069
0.617,4.1,0.057
0.454,4.8,0.05
0.226,5.6,0.053
0.017,5.8,0.082
0,5.9,0.115
0,6.1,0.134
0,6.7,0.14
0,7.2,0.136
0,7.8,0.128
0,8,0.118
0,8.1,0.111
0,8.3,0.114
0,8.1,0.142
0,8,0.184
0,7.8,0.228
0,7.4,0.265
0,7.1,0.302
0.18,6.7,0.313
0.439,6.5,0.294
0.613,6.3,0.289
0.712,6.1,0.274
0.769,6.1,0.259
0.773,6.1,0.245
0.729,6.1,0.236
0.629,5.9,0.234
0.474,5.8,0.236
0.257,5.6,0.233
0.026,5.8,0.241
0,5.9,0.256
0,6.1,0.256
0,5.4,0.249
0,4.6,0.228
0,3.9,0.201
0,3.9,0.171
0,3.9,0.145
0,3.9,0.113
0,4.1,0.084
0,4.2,0.069
0,4.4,0.068
0,3.5,0.076
0,2.6,0.092
0.161,1.7,0.11
0.389,1.5,0.131
0.58,1.3,0.153
0.721,1.1,0.168
0.777,2,0.184
0.782,3,0.192
0.73,3.9,0.201
0.634,4.6,0.218
0.477,5.4,0.227
0.258,6.1,0.207
0.026,5.9,0.18
0,5.8,0.147
0,5.6,0.112
0,5.2,0.088
0,4.8,0.072
0,4.4,0.056
0,4.4,0.046
0,4.4,0.04
0,4.4,0.03
0,4.8,0.022
0,5.2,0.013
0,5.6,0.005
0,5.6,0.001
0,5.6,0
0.19,5.6,0.001
0.451,5.4,0.002
0.622,5.2,0.004
0.733,5,0.007
0.786,4.8,0.011
0.79,4.6,0.011
0.745,4.4,0.013
0.649,4.6,0.019
0.497,4.8,0.025
0.275,5,0.031
0.029,5.2,0.061
0,5.4,0.089
0,5.6,0.074
0,5.8,0.033
0,5.9,0.005
0,6.1,0.001
0,6.7,0.001
0,7.2,0.003
0,7.8,0.017
0,7.1,0.054
0,6.3,0.093
0,5.6,0.132
0,4.8,0.17
0,4.1,0.198
0.197,3.3,0.201
0.433,3.3,0.162
0.601,3.3,0.179
0.714,3.3,0.195
0.763,3.3,0.195
0.764,3.3,0.206
0.716,3.3,0.22
0.611,3.3,0.227
0.44,3.3,0.223
0.203,3.3,0.201
0.014,3.3,0.207
0,3.3,0.29
0,3.3,0.391
0,2.9,0.451
0,2.6,0.465
0,2.2,0.477
0,2.2,0.482
0,2.2,0.502
0,2.2,0.574
0,1.8,0.625
0,1.5,0.644
0,1.1,0.645
0,1.3,0.642
0,1.5,0.617
0.188,1.7,0.539
0.435,1.1,0.538
0.609,0.6,0.485
0.738,0,0.415
0.784,0.7,0.328
0.783,1.5,0.265
0.738,2.2,0.234
0.639,3.1,0.227
0.483,4.1,0.235
0.258,5,0.259
0.025,4.6,0.322
0,4.3,0.378
0,3.9,0.357
0,2.6,0.274
0,1.3,0.183
0,0,0.121
0,-0.2,0.079
0,-0.4,0.045
0,-0.6,0.03
0,-0.6,0.033
0,-0.6,0.048
0,-0.6,0.066
0,0,0.082
0,0.5,0.093
0.204,1.1,0.1
0.437,0.9,0.112
0.604,0.8,0.146
0.704,0.6,0.155
0.759,1.1,0.159
0.765,1.7,0.167
0.722,2.2,0.179
0.624,2.8,0.205
0.465,3.3,0.248
0.239,3.9,0.294
0.021,3.9,0.337
0,3.9,0.374
0,3.9,0.371
0,3.7,0.359
0,3.5,0.358
0,3.3,0.344
0,3.5,0.323
0,3.7,0.311
0,3.9,0.296
0,4.3,0.292
0,4.6,0.306
0,5,0.337
0,6.7,0.381
0,8.3,0.437
0.127,10,0.443
0.387,9.6,0.38
0.585,9.3,0.31
0.69,8.9,0.272
0.766,9.1,0.233
0.74,9.2,0.195
0.697,9.4,0.181
0.621,9.4,0.177
0.447,9.4,0.174
0.233,9.4,0.21
0.022,9.2,0.264
0,9.1,0.289
0,8.9,0.319
0,8.7,0.311
0,8.5,0.291
0,8.3,0.282
0,8.9,0.252
0,9.4,0.205
0,10,0.203
0,10.4,0.253
0,10.7,0.231
0,11.1,0.182
0,11.1,0.237
0,11.1,0.256
0.131,11.1,0.245
0.396,10.9,0.22
0.578,10.8,0.178
0.695,10.6,0.154
0.752,11,0.151
0.758,11.3,0.167
0.726,11.7,0.192
0.635,11.9,0.225
0.484,12,0.245
0.264,12.2,0.264
0.029,12,0.304
0,11.9,0.352
0,11.7,0.362
0,11.7,0.324
0,11.7,0.245
0,11.7,0.188
0,11.9,0.142
0,12,0.124
0,12.2,0.125
0,12.2,0.095
0,12.2,0.078
0,12.2,0.087
0,11.7,0.1
0.001,11.1,0.112
0.214,10.6,0.128
0.446,9.1,0.138
0.615,7.6,0.149
0.725,6.1,0.136
0.78,7.2,0.106
0.786,8.3,0.089
0.745,9.4,0.071
0.647,9.8,0.061
0.495,10.2,0.054
0.275,10.6,0.056
0.033,10.4,0.076
0,10.2,0.096
0,10,0.093
0,9.8,0.093
0,9.6,0.078
0,9.4,0.042
0,9.6,0.034
0,9.8,0.029
0,10,0.017
0,10,0.005
0,10,0.002
0,10,0.002
0,10,0.003
0,10,0.018
0.134,10,0.038
0.366,9.6,0.061
0.601,9.3,0.093
0.721,8.9,0.107
0.776,8.9,0.109
0.78,8.9,0.1
0.727,8.9,0.091
0.628,10,0.09
0.47,11.1,0.084
0.245,12.2,0.071
0.026,11.3,0.072
0,10.3,0.073
0,9.4,0.065
0,7.9,0.054
0,6.5,0.04
0,5,0.031
0,5.2,0.031
0,5.4,0.039
0,5.6,0.045
0,5.2,0.05
0,4.8,0.062
0,4.4,0.077
0,4.2,0.087
0,4.1,0.092
0.15,3.9,0.077
0.308,4.1,0.049
0.488,4.2,0.03
0.657,4.4,0.013
0.727,4.6,0.002
0.731,4.8,0
0.694,5,0
0.606,6.1,0.001
0.462,7.2,0.01
0.252,8.3,0.025
0.028,8.3,0.05
0,8.3,0.084
0,8.3,0.097
0,7.2,0.104
0,6.1,0.099
0,5,0.092
0,5,0.086
0,5,0.077
0,5,0.061
0,5.4,0.045
0,5.7,0.034
0,6.1,0.03
0,6.1,0.026
0.001,6.1,0.021
0.211,6.1,0.015
0.442,5.5,0.009
0.608,5,0.013
0.712,4.4,0.011
0.766,4.6,0.006
0.772,4.8,0.003
0.704,5,0.002
0.603,5.9,0.002
0.44,6.9,0.002
0.214,7.8,0.002
0.019,8.3,0.006
0,8.9,0.01
0,9.4,0.006
0,6.6,0.006
0,3.9,0.013
0,1.1,0.027
0,0.4,0.056
0,-0.4,0.123
0,-1.1,0.236
0,-1.5,0.386
0,-1.8,0.51
0,-2.2,0.529
0,-1.1,0.513
0,0,0.524
0.115,1.1,0.459
0.332,1.3,0.364
0.515,1.5,0.319
0.657,1.7,0.265
0.715,1.5,0.251
0.717,1.3,0.291
0.665,1.1,0.346
0.553,2,0.416
0.378,3,0.501
0.163,3.9,0.571
0.013,5.4,0.613
0,6.8,0.635
0,8.3,0.645
0,5.5,0.633
0,2.8,0.625
0,0,0.665
0,-0.7,0.704
0,-1.5,0.715
0,-2.2,0.718
0,-2.2,0.714
0,-2.2,0.7
0,-2.2,0.69
0,-1.8,0.7
0.001,-1.5,0.763
0.218,-1.1,0.718
0.472,-1.7,0.724
0.647,-2.2,0.668
0.755,-2.8,0.586
0.802,-1.1,0.479
0.799,0.5,0.367
0.753,2.2,0.279
0.649,4.4,0.227
0.484,6.7,0.194
0.251,8.9,0.167
0.027,10,0.148
0,11.1,0.123
0,12.2,0.107
0,9.4,0.112
0,6.7,0.144
0,3.9,0.215
0,3.3,0.313
0,2.8,0.413
0,2.2,0.483
0,2.4,0.547
0,2.6,0.587
0,2.8,0.592
0,3.3,0.568
0.002,3.9,0.523
0.221,4.4,0.422
0.462,3.9,0.305
0.632,3.3,0.299
0.744,2.8,0.169
0.797,3,0.086
0.8,3.1,0.045
0.755,3.3,0.021
0.654,3.7,0.008
